trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
206	42	3	6	4	3	2	3	0.0	1	2012	4	3	2	21.0	13	1	0	2	1201	0.366388889	0.124722222	0.121944444	0.0	0.075833333	0.0	0	0.0675	0.0	0.2	0.0	0.0699588999999999
268	60	1	1	1	1	5	1	1.0	1	2012	4	3	2	17.0	32	1	1	1	1436	0.3925	0.101944444	0.314166667	0.0	0.033333333	0.0	0	0.098055556	1.5	0.35	0.0	0.116147
278	62	1	1	4	3	1	5	0.0	1	2012	4	4	3	9.5	73	0	1	1	4739	1.428611111	0.551111111	0.163611111	0.0	0.466666667	0.0	0	0.2469444439999999	0.0	0.88	0.0	0.1619799999999999
296	68	1	0	1	3	6	4	1.0	1	2012	4	5	4	11.5	26	1	0	0	1097	0.276111111	0.087777778	0.039166667	0.0	0.130833333	0.0	0	0.066944444	1.5	0.2	0.0	0.107884
302	69	0	0	4	3	1	1	1.0	1	2012	4	5	4	6.0	30	1	1	2	12207	2.8836111110000004	0.88	0.137777778	0.5	0.166666667	0.1	1	0.723888889	4.3	2.43	0.0	0.504988
307	71	0	1	4	5	2	5	0.0	1	2012	4	6	5	16.5	64	1	1	1	6448	1.5825	0.543888889	0.208333333	0.0	0.502777778	0.0	0	0.373333333	0.0	0.96	0.0	0.4159229999999999
309	71	1	0	4	3	2	5	0.0	1	2012	4	6	5	15.0	67	0	1	1	9990	2.2433333330000003	0.651944444	0.250277778	0.316666667	0.105	0.111666667	1	0.5025	0.0	1.41	0.0	0.316197
314	72	2	1	1	3	6	3	0.0	1	2012	4	6	5	12.41666667	12	0	0	0	664	0.208888889	0.072777778	0.170277778	0.0	0.0144444439999999	0.0	0	0.070833333	0.0	0.17	0.0	0.0
335	78	2	0	4	3	2	3	0.0	1	2012	4	6	5	18.16666667	13	1	0	2	23638	5.387222222	1.633611111	0.222777778	0.433333333	0.0	0.1166666669999999	1	0.969722222	1.89	3.46	0.0	0.61014
362	84	1	0	3	1	6	1	1.0	1	2012	4	7	6	5.25	49	0	0	0	4837	1.055277778	0.320833333	0.1072222219999999	0.0	0.243333333	0.0	0	0.208055556	1.5	0.62	0.0	0.328438
382	89	0	0	4	3	1	1	1.0	1	2012	4	8	7	15.0	31	0	1	1	8393	1.983333333	0.668888889	0.339166667	0.05	0.2919444439999999	0.183333333	1	0.363888889	3.4	1.26	0.0	0.20229
385	89	1	1	4	3	1	1	1.0	1	2012	4	8	7	19.0	28	1	1	1	8393	2.012777778	0.6333333329999999	0.156388889	0.0	0.379166667	0.115277778	1	0.331111111	3.0	1.23	0.0	0.145973
397	94	2	1	4	3	1	1	1.0	1	2012	4	8	7	20.0	25	1	1	1	3538	0.993333333	0.313333333	0.409722222	0.05	0.0	0.0	0	0.180833333	1.5	0.72	0.0	0.0675883
416	96	4	0	4	3	2	3	0.0	1	2012	4	8	7	12.0	11	1	0	1	9272	2.203055556	0.628888889	0.083333333	0.183333333	0.476388889	0.15	1	0.4769444439999999	0.75	1.29	0.0	0.287129
418	97	0	0	4	1	1	1	1.0	1	2012	4	8	7	8.5	47	0	1	2	2174	0.496666667	0.128611111	0.1541666669999999	0.0	0.186111111	0.1	1	0.136666667	3.0	0.43	0.0	0.2357719999999999
422	97	2	0	4	3	1	2	0.0	1	2012	4	8	7	10.75	17	1	0	2	2696	0.616944444	0.162222222	0.272777778	0.0	0.146388889	0.0	0	0.1888888889999999	0.0	0.51	0.0	0.466176
435	99	0	1	3	5	1	1	1.0	1	2012	4	9	1	13.5	44	1	1	1	3718	0.8997222220000001	0.273055556	0.121111111	0.0	0.328055556	0.0	0	0.244166667	1.5	0.67	0.0	0.376564
444	99	3	3	3	5	1	5	0.0	1	2012	4	9	1	15.58333333	9	0	0	1	3792	0.915	0.282777778	0.251944444	0.15	0.0	0.0	0	0.25	0.0	0.68	0.0	0.395556
449	101	1	1	3	5	6	2	0.0	1	2012	4	9	1	11.0	17	0	0	0	2431	0.588611111	0.192777778	0.228333333	0.0	0.178333333	0.0	0	0.2125	0.0	0.59	0.0	0.216993
510	123	1	3	4	3	2	1	1.0	1	2012	4	10	2	21.5	55	0	1	1	1554	0.4377777779999999	0.143333333	0.266111111	0.0	0.111111111	0.0	0	0.106111111	1.5	0.27	0.0	0.0445026
512	124	0	0	1	3	6	1	1.0	1	2012	4	10	2	11.0	42	0	0	0	1116	0.260833333	0.081944444	0.090833333	0.0	0.050833333	0.0	0	0.090277778	1.5	0.23	0.0	0.107692
520	126	0	0	4	3	1	1	1.0	1	2012	4	10	2	10.5	49	0	1	1	2532	0.575	0.198611111	0.094722222	0.0	0.2166666669999999	0.0	0	0.124166667	1.5	0.4	0.0	0.331096
531	127	0	1	4	2	1	1	1.0	1	2012	4	10	2	9.0	44	1	1	1	1118	0.252222222	0.081666667	0.0352777779999999	0.0	0.066666667	0.0	0	0.069166667	1.5	0.18	0.0	0.381526
536	127	5	1	4	2	2	5	0.0	1	2012	4	10	2	17.75	5	1	0	1	1118	0.252222222	0.081666667	0.0352777779999999	0.0	0.066666667	0.0	0	0.0897222219999999	0.0	0.16	0.0	0.263158
546	129	3	2	1	3	2	1	1.0	1	2012	4	10	2	12.01666667	18	1	0	1	1198	0.383611111	0.157777778	0.224166667	0.0	0.078611111	0.0	0	0.135555556	1.5	0.3	0.0	0.290984
619	151	1	1	3	3	6	1	1.0	1	2012	4	12	4	18.5	22	0	0	0	5861	1.316388889	0.413888889	0.056388889	0.233333333	0.0	0.0	0	0.358611111	2.5	1.0	0.0	0.454686
641	154	0	0	3	1	2	1	1.0	1	2012	4	12	4	8.25	54	0	1	1	17618	3.908333333	1.343888889	0.246666667	0.816666667	0.0	0.0	0	1.188055556	1.7	2.8	10.5	0.703063
652	157	1	2	4	4	1	1	1.0	1	2012	4	12	4	9.5	28	1	1	1	1496	0.406666667	0.1022222219999999	0.107777778	0.0	0.195277778	0.088055556	1	0.1047222219999999	3.0	0.31	0.0	0.129973
660	159	0	0	1	1	6	4	1.0	1	2012	4	12	4	9.25	24	1	1	0	353	0.098055556	0.038333333	0.06	0.0	0.026111111	0.0	0	0.04	1.5	0.08	0.0	0.0
699	172	0	0	3	1	6	1	1.0	1	2012	4	13	5	6.5	50	0	1	0	12539	3.088333333	1.038333333	0.141944444	0.566666667	0.0	0.1	1	0.91	3.9	2.57	10.5	0.569902
708	175	0	0	3	3	6	1	1.0	1	2012	4	13	5	9.0	25	0	0	0	5755	1.358611111	0.4025	0.325555556	0.3	0.0	0.083333333	1	0.396944444	2.9	0.96	0.0	0.603919
738	180	0	2	4	5	1	1	1.0	1	2012	4	14	6	21.5	45	1	1	2	4079	1.004166667	0.281666667	0.066388889	0.0	0.192777778	0.073888889	1	0.168611111	3.0	0.62	0.0	0.153213
743	180	1	2	4	3	1	1	1.0	1	2012	4	14	6	22.91666667	23	1	1	2	7075	1.726944444	0.551666667	0.029444444	0.0	0.430555556	0.152777778	2	0.315833333	4.5	1.45	0.0	0.216359
745	180	2	1	4	5	2	5	0.0	1	2012	4	14	6	20.83333333	7	1	0	2	9838	2.3538888890000003	0.749166667	0.183055556	0.0	0.6969444440000001	0.0	0	0.3938888889999999	0.0	1.25	0.0	0.232017
747	180	3	0	4	3	2	5	0.0	1	2012	4	14	6	20.0	5	1	0	2	4987	1.128888889	0.3358333329999999	0.110277778	0.0	0.423888889	0.0	0	0.338611111	0.0	0.8	0.0	0.312551
763	184	0	1	4	3	1	1	1.0	1	2012	4	14	6	16.5	38	1	1	2	9886	2.566111111	0.818888889	0.079444444	0.0	0.885	0.166666667	1	0.440555556	3.0	1.66	0.0	0.222573
772	184	5	0	4	3	2	5	0.0	1	2012	4	14	6	14.0	8	1	0	2	9886	2.514444444	0.782222222	0.080555556	0.0	0.895277778	0.154444444	1	0.465555556	0.0	1.47	0.0	0.301909
792	190	0	2	2	3	1	5	0.0	1	2012	4	14	6	18.0	62	1	1	2	913	0.242222222	0.109166667	0.139166667	0.0	0.056111111	0.0	0	0.164722222	0.0	0.53	0.0	0.5834739999999999
804	195	0	2	4	3	1	1	0.0	1	2012	4	14	6	9.0	73	0	1	2	1675	0.558611111	0.171666667	0.136111111	0.0	0.166666667	0.0	0	0.138055556	0.0	0.42	0.0	0.152918
814	197	0	2	1	3	1	1	1.0	1	2012	4	14	6	14.75	31	1	1	2	1012	0.268055556	0.0736111109999999	0.174166667	0.0	0.068611111	0.0	0	0.098333333	1.5	0.24	0.0	0.480226
879	210	5	0	3	3	6	5	0.0	1	2012	4	15	7	10.5	7	0	0	0	3722	0.941944444	0.301111111	0.144444444	0.0	0.353055556	0.1011111109999999	1	0.2213888889999999	0.0	0.68	0.0	0.474279
886	212	1	1	4	3	2	1	1.0	1	2012	4	15	7	13.41666667	54	1	1	1	514	0.152777778	0.035	0.1197222219999999	0.0	0.040555556	0.0	0	0.049722222	1.5	0.1	0.0	0.0
892	213	2	2	4	3	1	1	1.0	1	2012	4	15	7	16.0	79	0	0	1	5529	1.323055556	0.368055556	0.2425	0.0	0.305555556	0.0	0	0.224444444	1.5	0.83	0.0	0.188119
894	214	0	2	3	3	2	1	1.0	1	2012	4	15	7	18.5	19	0	1	1	12685	3.0333333330000003	0.978888889	0.153888889	0.6333333329999999	0.1	0.333333333	3	0.607777778	6.1	1.7	0.0	0.424589
906	217	1	1	3	3	6	1	0.5	1	2012	4	16	1	21.0	25	0	0	0	12039	2.9675	0.941944444	0.102777778	0.466666667	0.0875	0.2166666669999999	2	0.575833333	3.55	2.03	0.0	0.33671
922	221	0	0	4	3	1	1	1.0	1	2012	4	16	1	19.0	51	1	1	1	1536	0.46	0.160555556	0.224444444	0.0	0.0777777779999999	0.0	0	0.088055556	1.5	0.31	0.0	0.116719
935	223	1	1	3	1	6	1	1.0	1	2012	4	16	1	18.16666667	30	0	0	0	17687	3.984166667	1.318333333	0.1066666669999999	0.533333333	0.5166666670000001	0.1	1	1.0025	4.8	2.74	0.0	0.630369
942	224	2	0	3	2	6	5	0.0	1	2012	4	16	1	8.0	7	0	0	0	2800	0.724722222	0.213055556	0.316944444	0.0	0.253333333	0.0	0	0.186111111	0.0	0.55	0.0	0.249254
944	225	0	0	3	3	1	5	0.0	1	2012	4	16	1	11.75	66	1	0	1	3321	0.7719444440000001	0.243611111	0.168333333	0.066666667	0.0	0.0	0	0.2216666669999999	0.0	0.63	0.0	0.374687
945	225	0	1	3	3	1	5	0.0	1	2012	4	16	1	12.75	66	1	0	1	3321	0.770277778	0.246111111	0.16	0.066666667	0.0	0.0	0	0.2238888889999999	0.0	0.65	0.0	0.336228
964	230	0	0	3	1	6	1	1.0	1	2012	4	17	2	8.0	50	0	0	0	3464	0.8180555559999999	0.267222222	0.0313888889999999	0.0	0.200833333	0.0	0	0.168333333	1.5	0.48	0.0	0.483498
973	232	0	1	3	1	1	4	1.0	1	2012	4	17	2	17.33333333	42	1	1	1	18318	4.1902777780000005	1.478333333	0.444444444	0.4	0.0	0.133333333	1	1.142222222	5.2	3.13	10.5	0.539397
993	232	3	3	4	3	1	3	0.0	1	2012	4	17	2	21.25	12	1	0	1	7881	2.025	0.605833333	0.655833333	0.3	0.0	0.0	0	0.321944444	0.75	1.24	0.0	0.0560827999999999
1005	233	1	3	3	4	2	1	1.0	1	2012	4	17	2	17.25	50	0	1	1	18784	4.227777778	1.435555556	0.243611111	0.433333333	0.0	0.133333333	1	1.310277778	8.6	2.84	10.5	0.637057
1013	234	0	6	2	3	1	5	0.0	1	2012	4	17	2	16.25	64	1	1	1	1764	0.466388889	0.1772222219999999	0.165833333	0.0	0.136111111	0.0	0	0.130277778	0.0	0.35	0.0	0.198294
1019	236	0	1	1	5	6	1	1.0	1	2012	4	17	2	9.733333333	28	0	1	0	365	0.0897222219999999	0.046666667	0.045277778	0.0	0.051666667	0.0	0	0.062222222	1.5	0.12	10.5	0.3794639999999999
1028	237	1	1	3	3	1	1	1.0	1	2012	4	17	2	21.5	51	0	1	2	8940	2.019166667	0.724166667	0.289722222	0.3833333329999999	0.0	0.0	0	0.443055556	2.4	1.54	0.0	0.5410659999999999
1032	237	3	3	3	2	2	1	0.0	1	2012	4	17	2	18.0	18	1	0	2	3837	0.881388889	0.299722222	0.311111111	0.133333333	0.0	0.0	0	0.181111111	1.7	0.51	0.0	0.77454
1053	243	1	2	3	4	1	4	0.5	1	2012	4	17	2	14.5	66	0	1	2	3393	0.895277778	0.402222222	0.1041666669999999	0.0	0.446944444	0.0	0	0.320833333	0.75	0.84	0.0	0.6
1054	244	0	0	1	2	6	4	0.5	1	2012	4	17	2	8.0	45	1	0	0	527	0.128055556	0.041944444	0.033055556	0.0	0.038055556	0.0	0	0.038333333	0.75	0.09	0.0	0.2681159999999999
1059	244	0	5	1	5	6	4	0.5	1	2012	4	17	2	18.5	45	1	0	0	538	0.139444444	0.090833333	0.051944444	0.0	0.097222222	0.0	0	0.0627777779999999	0.75	0.11	0.0	0.650442
1061	244	0	8	3	3	6	4	0.5	1	2012	4	17	2	19.5	45	1	0	0	1069	0.3288888889999999	0.145833333	0.196111111	0.0	0.066666667	0.0	0	0.123888889	0.75	0.33	0.0	0.455157
1100	250	0	1	4	3	1	1	1.0	1	2012	4	18	3	10.66666667	47	0	1	1	4431	1.033333333	0.360277778	0.123888889	0.0	0.388611111	0.083333333	1	0.240555556	3.0	0.76	0.0	0.28291
1111	253	0	1	1	2	6	1	1.0	1	2012	4	18	3	8.766666667	50	1	0	0	359	0.1011111109999999	0.0258333329999999	0.0313888889999999	0.0	0.044444444	0.0	0	0.053333333	1.5	0.11	0.0	0.0
1120	254	3	0	4	3	1	1	1.0	1	2012	4	18	3	8.833333332999999	33	0	1	1	1373	0.354166667	0.139166667	0.130277778	0.0	0.13	0.0	0	0.162777778	1.5	0.37	0.0	0.5597270000000001
1143	257	2	1	3	2	1	5	0.0	1	2012	4	18	3	15.33333333	10	1	0	2	881	0.245833333	0.0725	0.108611111	0.0	0.041944444	0.0	0	0.06	0.0	0.17	0.0	0.402778
1150	258	0	2	3	1	6	1	1.0	1	2012	4	18	3	19.0	34	0	0	0	6622	1.641388889	0.485	0.194444444	0.0	0.455555556	0.1	1	0.413888889	3.0	1.15	0.0	0.436242
1156	260	1	1	3	1	6	1	1.0	1	2012	4	18	3	22.0	42	0	0	0	6748	1.525555556	0.485555556	0.102777778	0.0	0.233333333	0.0	0	0.247777778	1.5	0.87	0.0	0.0773543
1158	260	2	1	3	3	6	1	1.0	1	2012	4	18	3	20.0	18	1	0	0	8943	1.949722222	0.553888889	0.123888889	0.0	0.4658333329999999	0.0	0	0.371388889	1.5	1.27	0.0	0.342558
1160	261	1	1	3	2	6	3	0.0	1	2012	4	18	3	15.5	15	1	0	0	5739	1.284166667	0.358611111	0.166111111	0.0	0.345	0.0	0	0.3325	0.0	0.98	0.0	0.383459
1196	269	0	2	3	1	2	1	1.0	1	2012	4	19	4	17.41666667	33	0	1	2	19992	4.529722222	1.4941666669999998	0.052777778	0.433333333	0.178611111	0.316666667	3	1.257222222	9.2	2.85	10.5	0.592797
1229	274	0	0	3	1	1	1	1.0	1	2012	4	19	4	7.5	28	1	0	1	12412	2.953055556	0.999166667	0.056666667	0.566666667	0.1291666669999999	0.233333333	2	0.779166667	3.9	2.22	0.0	0.2299469999999999
1242	276	0	4	4	3	1	1	1.0	1	2012	4	19	4	23.53333333	43	0	1	2	2667	0.650833333	0.219722222	0.082222222	0.0	0.151388889	0.124444444	1	0.157777778	3.0	0.46	0.0	0.0774648
1243	277	1	0	3	1	6	1	1.0	1	2012	4	19	4	4.0	32	0	0	0	3459	0.825277778	0.285555556	0.264722222	0.0	0.272777778	0.0	0	0.153888889	1.5	0.54	0.0	0.0812273999999999
1245	278	0	0	3	3	1	5	0.0	1	2012	4	19	4	7.5	88	1	0	2	1716	0.4502777779999999	0.189722222	0.2125	0.0	0.1186111109999999	0.0	0	0.170555556	0.0	0.51	0.0	0.286645
1251	279	0	1	4	5	1	1	1.0	1	2012	4	19	4	8.916666667000001	60	1	1	1	11349	2.651666667	0.7252777779999999	0.124444444	0.2	0.316666667	0.083333333	1	0.399444444	3.2	1.7	0.0	0.323366
1256	280	0	1	3	3	1	5	0.0	1	2012	4	19	4	15.25	72	0	1	1	908	0.3	0.105833333	0.253055556	0.0	0.060277778	0.0	0	0.141388889	0.0	0.37	0.0	0.471513
1269	281	1	2	3	3	1	5	0.0	1	2012	4	19	4	18.25	68	0	1	2	7852	1.899722222	0.6138888889999999	0.228611111	0.2	0.333333333	0.1166666669999999	1	0.636388889	0.0	1.59	0.0	0.682671
1337	287	0	1	3	3	6	1	1.0	1	2012	4	20	5	18.5	24	1	0	0	2960	0.7483333329999999	0.2688888889999999	0.255	0.0	0.246111111	0.0	0	0.2144444439999999	1.5	0.52	0.0	0.507772
1347	288	1	1	1	1	2	1	1.0	1	2012	4	20	5	16.5	30	0	1	1	400	0.138888889	0.045833333	0.095277778	0.0	0.013055556	0.0	0	0.054722222	1.5	0.11	0.0	0.365482
1365	295	0	1	4	5	1	5	0.0	1	2012	4	20	5	8.833333332999999	69	1	1	1	1720	0.386111111	0.103333333	0.078888889	0.0	0.1555555559999999	0.0	0	0.094444444	0.0	0.27	0.0	0.638235
1409	299	0	3	1	5	1	1	1.0	1	2012	4	20	5	16.25	24	1	0	1	972	0.259444444	0.064444444	0.135277778	0.0	0.091388889	0.0	0	0.083611111	1.5	0.2	0.0	0.242525
1412	299	1	2	1	3	1	1	1.0	1	2012	4	20	5	12.83333333	28	0	1	1	1001	0.227222222	0.079166667	0.195277778	0.0	0.02	0.0	0	0.080833333	1.5	0.22	0.0	0.0859106999999999
1465	310	0	0	3	3	6	5	0.0	1	2012	4	21	6	10.0	34	0	0	0	6908	1.5777777780000002	0.5116666670000001	0.147777778	0.416666667	0.0	0.083333333	1	0.366666667	0.0	1.45	0.0	0.410606
1467	311	0	0	4	1	2	1	1.0	1	2012	4	21	6	9.5	29	1	1	2	7269	1.892222222	0.640833333	0.206388889	0.5166666670000001	0.0	0.133333333	1	0.361666667	4.4	1.09	0.0	0.383257
1481	313	0	2	1	3	6	1	1.0	1	2012	4	21	6	16.83333333	24	1	1	0	393	0.1155555559999999	0.056388889	0.078888889	0.0	0.040555556	0.0	0	0.048888889	1.5	0.09	0.0	0.130682
1490	316	0	2	3	3	1	4	0.5	1	2012	4	21	6	23.66666667	20	0	0	1	6733	1.693888889	0.5275	0.116944444	0.0	0.5227777779999999	0.114444444	1	0.340555556	1.5	1.14	0.0	0.19168
1508	319	2	2	1	3	6	5	0.0	1	2012	4	21	6	16.25	9	1	0	0	1250	0.355277778	0.135277778	0.1011111109999999	0.0	0.133611111	0.0	0	0.11	0.0	0.26	0.0	0.179293
1515	321	0	3	1	3	6	1	1.0	1	2012	4	21	6	13.51666667	40	1	1	2	319	0.064722222	0.015555556	0.0	0.0	0.021111111	0.0	0	0.0097222219999999	1.5	0.04	0.0	0.4
1526	323	1	0	4	4	2	1	1.0	1	2012	4	21	6	10.25	61	0	1	1	2563	0.715555556	0.260833333	0.194166667	0.0	0.25	0.0	0	0.210555556	1.5	0.5	0.0	0.129288
1527	323	1	1	4	4	2	1	1.0	1	2012	4	21	6	12.5	61	0	1	1	2563	0.7111111109999999	0.27	0.203888889	0.0	0.2	0.0	0	0.265	1.5	0.54	0.0	0.1991609999999999
1528	324	1	4	4	3	1	1	1.0	1	2012	4	21	6	17.0	48	0	1	2	1251	0.401666667	0.130833333	0.048055556	0.0	0.1	0.0	0	0.108611111	1.5	0.32	0.0	0.1560099999999999
1529	324	1	5	4	3	1	1	1.0	1	2012	4	21	6	18.0	48	0	1	2	1251	0.393611111	0.144444444	0.047777778	0.0	0.1166666669999999	0.0	0	0.124722222	1.5	0.36	0.0	0.193764
1532	325	0	4	4	5	2	1	1.0	1	2012	4	21	6	12.5	58	0	1	1	4493	1.3919444440000002	0.392222222	0.24	0.1	0.344166667	0.1166666669999999	1	0.306944444	3.0	0.84	0.0	0.419005
1536	325	0	10	1	3	2	1	1.0	1	2012	4	21	6	19.33333333	58	0	1	1	527	0.179722222	0.085277778	0.153888889	0.0	0.013055556	0.0	0	0.111944444	1.5	0.21	0.0	0.16129
1549	326	1	2	4	3	6	5	0.0	1	2012	4	22	7	13.5	69	0	1	2	14980	3.558333333	1.1080555559999998	0.295	0.65	0.0	0.1	1	0.751944444	0.0	3.51	0.0	0.42113
1554	326	2	5	4	3	6	1	1.0	1	2012	4	22	7	18.0	37	0	1	2	5840	1.399444444	0.493333333	0.185277778	0.133333333	0.183333333	0.1	1	0.312222222	3.0	0.91	0.0	0.185053
1555	326	3	0	4	3	6	1	1.0	1	2012	4	22	7	10.0	37	1	1	2	5840	1.3697222219999998	0.45	0.18	0.1166666669999999	0.166666667	0.1	1	0.322777778	3.0	0.93	0.0	0.113597
1563	328	0	1	3	4	1	1	1.0	1	2012	4	22	7	13.0	40	0	0	1	3598	0.831944444	0.261111111	0.362777778	0.066666667	0.0	0.0	0	0.236666667	1.5	0.64	0.0	0.308685
1594	333	0	4	3	5	6	1	1.0	1	2012	4	22	7	19.0	24	1	1	0	3475	0.81	0.2188888889999999	0.099444444	0.0	0.2025	0.0	0	0.1719444439999999	1.5	0.49	0.0	0.326333
1600	334	2	0	3	3	6	5	0.0	1	2012	4	22	7	10.5	7	0	0	0	10038	2.9311111110000003	0.6627777779999999	0.158888889	0.0	0.848333333	0.076944444	1	0.436388889	0.0	1.49	0.0	0.303628
1615	336	2	1	3	3	1	1	1.0	1	2012	4	22	7	13.0	39	0	1	1	3334	0.8030555559999999	0.269444444	0.126944444	0.0	0.3316666669999999	0.0	0	0.250833333	1.5	0.66	0.0	0.401993
1618	338	0	0	3	3	1	1	1.0	1	2012	4	22	7	11.5	41	1	1	1	11899	2.7155555560000004	0.838888889	0.131388889	0.4	0.413888889	0.140833333	1	0.6166666670000001	4.3	2.01	0.0	0.5265770000000001
1621	338	1	1	3	3	1	1	1.0	1	2012	4	22	7	18.0	42	0	1	1	11899	2.7075	0.813888889	0.094166667	0.0	0.925	0.090277778	1	0.605555556	3.0	1.98	0.0	0.558716
1623	338	2	1	3	3	1	5	0.0	1	2012	4	22	7	18.0	6	0	0	1	11899	2.7075	0.813888889	0.094166667	0.0	0.925	0.090277778	1	0.605555556	0.0	1.98	0.0	0.558716
1626	340	0	0	1	3	6	1	1.0	1	2012	4	22	7	14.0	43	0	0	0	513	0.149166667	0.0627777779999999	0.111111111	0.0	0.021666667	0.0	0	0.0608333329999999	1.5	0.12	0.0	0.0273973
1648	346	2	0	4	2	1	5	0.0	1	2012	4	23	1	8.666666667000001	8	1	0	1	2494	0.596388889	0.1725	0.134722222	0.0	0.1	0.0	0	0.111944444	0.0	0.37	0.0	0.1067
1663	348	1	2	4	3	1	1	1.0	1	2012	4	23	1	23.5	52	1	1	2	6624	1.499166667	0.518888889	0.257777778	0.2666666669999999	0.0	0.0	0	0.308055556	2.4	1.04	0.0	0.5428310000000001
1684	353	2	0	1	2	1	2	0.0	1	2012	4	23	1	8.5	17	0	0	1	1214	0.374444444	0.131666667	0.264722222	0.0	0.116944444	0.0	0	0.113888889	0.0	0.28	0.0	0.451219
1686	353	2	2	1	4	1	2	0.0	1	2012	4	23	1	15.75	17	0	0	1	1388	0.3533333329999999	0.123333333	0.1772222219999999	0.0	0.09	0.0	0	0.1275	0.0	0.31	0.0	0.20915
1694	353	4	2	4	3	1	5	0.0	1	2012	4	23	1	19.0	7	0	0	1	2160	0.5508333329999999	0.1472222219999999	0.183611111	0.0	0.148888889	0.0	0	0.18	0.0	0.53	0.0	0.12963
1714	360	1	0	3	3	6	1	1.0	1	2012	4	24	2	9.0	24	1	0	0	3442	0.951944444	0.270277778	0.076111111	0.0	0.276111111	0.0	0	0.238055556	1.5	0.67	0.0	0.271879
1720	363	0	0	4	1	5	1	1.0	1	2012	4	24	2	6.666666667	46	1	1	1	3882	0.940277778	0.341666667	0.2225	0.0	0.398055556	0.09	1	0.223611111	3.0	0.83	0.0	0.395031
1740	364	3	1	3	5	1	1	1.0	1	2012	4	24	2	11.75	19	0	0	1	3392	0.776666667	0.24	0.234166667	0.0	0.2	0.0	0	0.1772222219999999	1.5	0.59	0.0	0.230408
1746	365	0	4	4	5	1	1	1.0	1	2012	4	25	3	14.08333333	45	0	1	1	7382	1.744444444	0.570277778	0.063055556	0.166666667	0.357222222	0.2491666669999999	2	0.352777778	4.5	1.27	0.0	0.212598
1755	366	0	0	3	2	1	1	1.0	1	2012	4	25	3	11.83333333	26	1	0	2	4311	0.9975	0.333055556	0.072777778	0.0	0.536944444	0.1	1	0.274166667	3.0	0.73	0.0	0.303951
1759	367	0	0	4	1	1	1	1.0	1	2012	4	25	3	10.0	51	1	1	2	2926	0.810277778	0.268333333	0.384444444	0.0	0.196111111	0.0	0	0.215277778	1.5	0.6	0.0	0.467097
1782	371	1	0	3	2	6	5	0.0	1	2012	4	25	3	8.5	5	1	0	0	704	0.19	0.081388889	0.101388889	0.0	0.0536111109999999	0.0	0	0.0847222219999999	0.0	0.17	0.0	0.429508
